"subj" "group" "tree" "cat" "rt"
3 0 "UNT" "false" 6490
3 0 "URT" "true" 2474
3 0 "UNF" "false" 2476
3 0 "URT" "true" 2852
3 0 "KRF" "false" 3415
3 0 "KNT" "true" 4221
3 0 "KNF" "false" 7378
3 0 "URT" "true" 3693
3 0 "URF" "true" 2116
3 0 "UNT" "true" 5513
3 0 "KRT" "true" 2059
3 0 "KNT" "true" 3557
3 0 "KRT" "true" 1394
3 0 "KNT" "false" 2314
3 0 "UNT" "false" 4250
3 0 "UNF" "false" 3082
3 0 "URF" "false" 1836
3 0 "URF" "true" 3852
3 0 "KRF" "false" 4495
3 0 "UNF" "false" 3467
3 0 "KRF" "false" 2724
3 0 "URT" "false" 3600
3 0 "UNT" "false" 1974
3 0 "URF" "true" 1544
3 0 "UNT" "true" 5958
3 0 "KRT" "true" 2265
3 0 "KNF" "true" 4192
3 0 "KRF" "false" 3092
3 0 "URF" "false" 7997
3 0 "KNF" "false" 4053
3 0 "KNF" "false" 3657
3 0 "UNT" "false" 3825
3 0 "KRT" "true" 2116
3 0 "KRT" "false" 2077
3 0 "KRF" "false" 2281
3 0 "KNT" "true" 3532
3 0 "UNF" "false" 4971
3 0 "KNT" "true" 5832
4 0 "KRT" "true" 2495
4 0 "URT" "true" 3987
4 0 "URT" "true" 2675
4 0 "KNT" "false" 3896
4 0 "KRF" "false" 2932
4 0 "URT" "true" 2494
4 0 "UNF" "true" 3626
4 0 "UNT" "false" 3209
4 0 "UNF" "false" 3017
4 0 "URF" "true" 3127
4 0 "KRF" "true" 3514
4 0 "KNT" "true" 2989
4 0 "KRF" "false" 4294
4 0 "KRT" "false" 3872
4 0 "KNF" "true" 5302
4 0 "KRF" "false" 3161
4 0 "UNF" "false" 2370
4 0 "KNT" "true" 3220
4 0 "URF" "true" 2521
4 0 "UNF" "false" 3814
4 0 "UNT" "true" 2322
4 0 "UNF" "true" 2292
4 0 "UNF" "false" 5257
4 0 "KNF" "false" 5326
4 0 "UNT" "false" 4489
4 0 "URT" "true" 2285
4 0 "URT" "false" 2633
4 0 "URF" "true" 2183
4 0 "KNF" "false" 3078
4 0 "KNT" "true" 3180
4 0 "KNF" "false" 3236
4 0 "URT" "true" 4171
4 0 "URF" "false" 2314
4 0 "UNT" "false" 5301
4 0 "URT" "false" 2088
4 0 "URT" "false" 3205
4 0 "KRT" "true" 1685
4 0 "KRT" "true" 1847
4 0 "KRT" "true" 1470
4 0 "URF" "false" 3011
4 0 "UNT" "false" 4042
4 0 "KNF" "false" 2007
4 0 "URF" "false" 2423
4 0 "KNF" "false" 4246
4 0 "KRF" "false" 2092
4 0 "KNF" "true" 5216
4 0 "KRT" "true" 2487
4 0 "URF" "true" 3028
4 0 "KRT" "true" 1178
4 0 "URT" "false" 1385
4 0 "KRT" "true" 1642
4 0 "KNT" "true" 4983
4 0 "KNF" "false" 6912
4 0 "KNT" "true" 2604
4 0 "KNT" "true" 2490
4 0 "KRF" "true" 2446
4 0 "KRF" "true" 2028
4 0 "URF" "false" 4164
4 0 "KRF" "false" 3292
4 0 "URF" "false" 2425
4 0 "KNF" "false" 5072
4 0 "UNF" "true" 2667
4 0 "UNF" "false" 3528
4 0 "KRT" "true" 1674
4 0 "URF" "true" 2831
4 0 "KNT" "true" 3425
4 0 "UNT" "false" 3050
4 0 "KNF" "false" 4446
4 0 "UNT" "true" 1892
4 0 "KRF" "false" 2008
4 0 "UNF" "false" 5760
4 0 "KRF" "false" 2321
4 0 "URT" "false" 1820
4 0 "UNT" "true" 4913
4 0 "UNT" "true" 2300
4 0 "UNT" "false" 6272
4 0 "KNT" "true" 2500
4 0 "KRT" "true" 2921
4 0 "UNF" "false" 3468
5 0 "KRF" "true" 2584
5 0 "KRF" "false" 2611
5 0 "KRF" "true" 1363
5 0 "KRF" "false" 4323
5 0 "URF" "true" 1519
5 0 "UNF" "true" 3537
5 0 "URT" "false" 2977
5 0 "UNF" "false" 4107
5 0 "KRF" "true" 3220
5 0 "KRT" "true" 1909
5 0 "KRT" "true" 1539
5 0 "URT" "true" 1611
5 0 "KNT" "true" 2002
5 0 "KRT" "true" 2432
5 0 "URF" "true" 2780
5 0 "UNT" "true" 1787
5 0 "KNT" "true" 2726
5 0 "URF" "false" 2258
5 0 "KNF" "false" 2847
5 0 "KNF" "false" 4162
5 0 "UNT" "false" 3433
5 0 "UNF" "false" 2732
5 0 "URF" "false" 3015
5 0 "KNT" "true" 2151
5 0 "URT" "true" 1830
5 0 "KRT" "true" 1815
5 0 "UNF" "false" 2377
5 0 "UNF" "false" 4016
5 0 "KRF" "false" 1891
5 0 "KNT" "true" 3964
5 0 "URF" "false" 3142
5 0 "UNT" "false" 3528
5 0 "KNF" "false" 2658
5 0 "KRF" "false" 3043
5 0 "URT" "true" 1794
5 0 "KNT" "true" 2296
5 0 "KNT" "true" 2286
5 0 "KNF" "true" 1568
5 0 "URT" "true" 3213
5 0 "KNF" "false" 2827
5 0 "KRT" "true" 3871
5 0 "UNT" "true" 3708
5 0 "URT" "false" 2782
5 0 "KNF" "false" 3575
5 0 "KNF" "false" 3870
5 0 "UNT" "true" 3006
5 0 "UNF" "false" 3318
5 0 "URT" "true" 1651
5 0 "KNF" "false" 3478
5 0 "KNT" "false" 3276
5 0 "KRT" "true" 2620
5 0 "KNF" "false" 4116
5 0 "KRT" "true" 2507
5 0 "KNF" "true" 3379
5 0 "KNT" "true" 3709
5 0 "URF" "false" 2003
5 0 "UNF" "false" 2593
5 0 "KRF" "true" 1745
5 0 "UNF" "false" 3474
5 0 "UNT" "true" 2354
5 0 "URT" "true" 1580
5 0 "URF" "false" 2711
5 0 "URF" "false" 2230
5 0 "UNT" "true" 2692
5 0 "URF" "false" 2032
5 0 "KRT" "true" 1949
5 0 "UNT" "false" 4222
5 0 "KRF" "false" 2762
5 0 "UNT" "true" 3508
5 0 "KNT" "false" 4131
5 0 "URT" "true" 2209
5 0 "KRT" "false" 2325
5 0 "URF" "true" 3082
5 0 "UNF" "false" 3541
5 0 "KRF" "false" 2221
5 0 "UNT" "false" 3406
5 0 "URT" "true" 1407
5 0 "KRT" "true" 1967
5 0 "UNF" "false" 2565
5 0 "KNT" "true" 2379
6 0 "UNT" "true" 3513
6 0 "URT" "false" 5292
6 0 "KRT" "false" 1101
6 0 "KRF" "false" 3906
6 0 "KRF" "false" 5162
6 0 "KRT" "true" 1743
6 0 "KNT" "true" 2462
6 0 "KNF" "true" 3385
6 0 "KNT" "true" 4346
6 0 "URF" "true" 2854
6 0 "KRT" "true" 1144
6 0 "URF" "true" 2259
6 0 "UNT" "true" 3726
6 0 "KRT" "true" 1554
6 0 "KRT" "true" 1938
6 0 "UNT" "true" 3332
6 0 "KNT" "false" 2797
6 0 "KNF" "false" 5885
6 0 "KNT" "false" 6984
6 0 "URT" "true" 1609
6 0 "UNT" "true" 1930
6 0 "URT" "true" 1777
6 0 "KRT" "true" 4196
6 0 "URT" "true" 1432
6 0 "UNF" "true" 4497
6 0 "UNT" "true" 3685
6 0 "UNF" "false" 2594
6 0 "KNF" "false" 3024
6 0 "KNT" "true" 1663
6 0 "KRF" "false" 2276
6 0 "URT" "true" 3024
6 0 "URF" "true" 3178
6 0 "KRF" "true" 4619
6 0 "UNF" "true" 2877
6 0 "UNT" "true" 3039
6 0 "KNF" "false" 2458
6 0 "KNT" "true" 2727
6 0 "URF" "true" 3664
6 0 "UNF" "true" 2856
6 0 "KRF" "false" 1505
6 0 "URF" "true" 5738
6 0 "KNF" "false" 2394
6 0 "KRF" "false" 1555
6 0 "KRF" "true" 1849
6 0 "KNT" "true" 2215
6 0 "KRF" "true" 2529
6 0 "KNT" "true" 1917
6 0 "URT" "true" 1811
6 0 "KNF" "false" 1949
6 0 "UNF" "true" 3184
6 0 "UNF" "false" 4140
6 0 "KRF" "false" 1725
6 0 "KNF" "false" 2226
6 0 "UNF" "false" 2851
6 0 "URT" "true" 3625
6 0 "KRT" "true" 1803
6 0 "UNT" "true" 2518
6 0 "KRT" "true" 1265
6 0 "URT" "true" 4732
6 0 "UNF" "false" 3779
6 0 "URF" "false" 1965
6 0 "KNT" "true" 2341
6 0 "URF" "true" 2804
6 0 "UNT" "true" 3691
6 0 "KRT" "false" 2959
6 0 "URT" "true" 3179
6 0 "KNF" "false" 4682
6 0 "UNF" "true" 2655
6 0 "URF" "false" 1676
6 0 "URT" "true" 3150
6 0 "KNF" "true" 3421
6 0 "UNT" "true" 2299
6 0 "KNF" "false" 2890
6 0 "UNT" "true" 4225
6 0 "KNT" "true" 2648
6 0 "URF" "true" 1340
6 0 "UNF" "false" 2037
6 0 "KRT" "true" 1330
6 0 "URF" "true" 2308
6 0 "KRF" "false" 6055
7 0 "KNT" "true" 2252
7 0 "KRT" "true" 1504
7 0 "URF" "false" 2131
7 0 "UNT" "true" 2221
7 0 "URT" "true" 1772
7 0 "UNF" "true" 1815
7 0 "URF" "false" 2767
7 0 "URT" "true" 1659
7 0 "UNF" "true" 2275
7 0 "URF" "false" 2308
7 0 "KNT" "true" 1807
7 0 "KRF" "true" 1836
7 0 "KRF" "true" 1163
7 0 "KNT" "true" 1498
7 0 "KRF" "true" 1765
7 0 "KRF" "false" 1439
7 0 "KRT" "true" 1212
7 0 "UNF" "true" 2434
7 0 "KRT" "true" 1785
7 0 "UNT" "false" 1786
7 0 "KRT" "true" 1427
7 0 "KRF" "false" 2091
7 0 "KRT" "true" 1088
7 0 "UNF" "false" 2819
7 0 "KRF" "false" 2037
7 0 "URF" "true" 2053
7 0 "UNF" "false" 3084
7 0 "URT" "true" 1223
7 0 "KNF" "false" 3805
7 0 "UNT" "true" 2134
7 0 "KNF" "true" 2144
7 0 "UNT" "true" 1388
7 0 "URF" "false" 1505
7 0 "URT" "true" 2834
7 0 "KNF" "true" 1613
7 0 "URT" "true" 1561
7 0 "KRF" "false" 1825
7 0 "KNT" "true" 2246
7 0 "KNF" "false" 1968
7 0 "KNT" "true" 1597
7 0 "KRT" "true" 2954
7 0 "UNT" "false" 3086
7 0 "UNF" "false" 1476
7 0 "KNF" "true" 2120
7 0 "UNF" "false" 2007
7 0 "UNT" "true" 2072
7 0 "KNT" "true" 1993
7 0 "UNF" "false" 1823
7 0 "URF" "false" 2713
7 0 "UNT" "true" 1952
7 0 "KNF" "false" 2209
7 0 "URF" "false" 2340
7 0 "UNT" "true" 3103
7 0 "URT" "true" 1476
7 0 "KRF" "true" 2118
7 0 "URT" "true" 1803
7 0 "KNT" "true" 1441
7 0 "UNT" "true" 1900
