"subj" "group" "tree" "cat" "rt"
4 0 3 6 1385
4 0 7 15 1642
4 0 5 11 4983
4 0 4 8 6912
4 0 5 11 2604
4 0 5 11 2490
4 0 6 13 2446
4 0 6 13 2028
4 0 2 4 4164
4 0 6 12 3292
4 0 2 4 2425
4 0 4 8 5072
4 0 0 1 2667
4 0 0 0 3528
4 0 7 15 1674
4 0 2 5 2831
4 0 5 11 3425
4 0 1 2 3050
4 0 4 8 4446
4 0 1 3 1892
4 0 6 12 2008
4 0 0 0 5760
4 0 6 12 2321
4 0 3 6 1820
4 0 1 3 4913
4 0 1 3 2300
4 0 1 2 6272
4 0 5 11 2500
4 0 7 15 2921
4 0 0 0 3468
5 0 6 13 2584
5 0 6 12 2611
5 0 6 13 1363
5 0 6 12 4323
5 0 2 5 1519
5 0 0 1 3537
5 0 3 6 2977
5 0 0 0 4107
5 0 6 13 3220
5 0 7 15 1909
5 0 7 15 1539
5 0 3 7 1611
5 0 5 11 2002
5 0 7 15 2432
5 0 2 5 2780
5 0 1 3 1787
5 0 5 11 2726
5 0 2 4 2258
5 0 4 8 2847
5 0 4 8 4162
5 0 1 2 3433
5 0 0 0 2732
5 0 2 4 3015
5 0 5 11 2151
5 0 3 7 1830
5 0 7 15 1815
5 0 0 0 2377
5 0 0 0 4016
5 0 6 12 1891
5 0 5 11 3964
5 0 2 4 3142
5 0 1 2 3528
5 0 4 8 2658
5 0 6 12 3043
5 0 3 7 1794
5 0 5 11 2296
5 0 5 11 2286
5 0 4 9 1568
5 0 3 7 3213
5 0 4 8 2827
5 0 7 15 3871
5 0 1 3 3708
5 0 3 6 2782
5 0 4 8 3575
5 0 4 8 3870
5 0 1 3 3006
5 0 0 0 3318
5 0 3 7 1651
5 0 4 8 3478
5 0 5 10 3276
5 0 7 15 2620
5 0 4 8 4116
5 0 7 15 2507
5 0 4 9 3379
5 0 5 11 3709
5 0 2 4 2003
5 0 0 0 2593
5 0 6 13 1745
5 0 0 0 3474
5 0 1 3 2354
5 0 3 7 1580
5 0 2 4 2711
5 0 2 4 2230
5 0 1 3 2692
5 0 2 4 2032
5 0 7 15 1949
5 0 1 2 4222
5 0 6 12 2762
5 0 1 3 3508
5 0 5 10 4131
5 0 3 7 2209
5 0 7 14 2325
5 0 2 5 3082
5 0 0 0 3541
5 0 6 12 2221
5 0 1 2 3406
5 0 3 7 1407
5 0 7 15 1967
5 0 0 0 2565
5 0 5 11 2379
6 0 1 3 3513
6 0 3 6 5292
6 0 7 14 1101
6 0 6 12 3906
6 0 6 12 5162
6 0 7 15 1743
6 0 5 11 2462
6 0 4 9 3385
6 0 5 11 4346
6 0 2 5 2854
6 0 7 15 1144
6 0 2 5 2259
6 0 1 3 3726
6 0 7 15 1554
6 0 7 15 1938
6 0 1 3 3332
6 0 5 10 2797
6 0 4 8 5885
6 0 5 10 6984
6 0 3 7 1609
6 0 1 3 1930
6 0 3 7 1777
6 0 7 15 4196
